UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Programme,Unit,Value
10007143,University of Durham,England,North East,2014/15,Other,£000s,283.0
10007143,University of Durham,England,North East,2014/15,ERDF income,£000s,0.0
10007143,University of Durham,England,North East,2014/15,ESF income,£000s,0.0
10007143,University of Durham,England,North East,2014/15,UK Government regeneration funds,£000s,0.0
10007143,University of Durham,England,North East,2014/15,Other regeneration grants and income from local and regional bodies,£000s,292.0
10007143,University of Durham,England,North East,2014/15,Total programmes,£000s,575.0
10007143,University of Durham,England,North East,2014/15,Capital income (attributable to survey year),£000s,500.0
10007143,University of Durham,England,North East,2014/15,UK shared prosperity fund,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Other,£000s,201.0
10007143,University of Durham,England,North East,2015/16,ERDF income,£000s,0.0
10007143,University of Durham,England,North East,2015/16,ESF income,£000s,0.0
10007143,University of Durham,England,North East,2015/16,UK Government regeneration funds,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Other regeneration grants and income from local and regional bodies,£000s,310.0
10007143,University of Durham,England,North East,2015/16,Total programmes,£000s,511.0
10007143,University of Durham,England,North East,2015/16,Capital income (attributable to survey year),£000s,300.0
10007143,University of Durham,England,North East,2015/16,UK shared prosperity fund,£000s,0.0
10007143,University of Durham,England,North East,2016/17,Other,£000s,1850.0
10007143,University of Durham,England,North East,2016/17,ERDF income,£000s,6.0
10007143,University of Durham,England,North East,2016/17,ESF income,£000s,0.0
10007143,University of Durham,England,North East,2016/17,UK Government regeneration funds,£000s,20.0
10007143,University of Durham,England,North East,2016/17,Other regeneration grants and income from local and regional bodies,£000s,280.0
10007143,University of Durham,England,North East,2016/17,Total programmes,£000s,2156.0
10007143,University of Durham,England,North East,2016/17,Capital income (attributable to survey year),£000s,0.0
10007143,University of Durham,England,North East,2016/17,UK shared prosperity fund,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Other,£000s,93.0
10007143,University of Durham,England,North East,2017/18,ERDF income,£000s,368.0
10007143,University of Durham,England,North East,2017/18,ESF income,£000s,0.0
10007143,University of Durham,England,North East,2017/18,UK Government regeneration funds,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Other regeneration grants and income from local and regional bodies,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Total programmes,£000s,461.0
10007143,University of Durham,England,North East,2017/18,Capital income (attributable to survey year),£000s,0.0
10007143,University of Durham,England,North East,2017/18,UK shared prosperity fund,£000s,0.0
10007143,University of Durham,England,North East,2018/19,Other,£000s,621.0
10007143,University of Durham,England,North East,2018/19,ERDF income,£000s,1031.0
10007143,University of Durham,England,North East,2018/19,ESF income,£000s,0.0
10007143,University of Durham,England,North East,2018/19,UK Government regeneration funds,£000s,129.0
10007143,University of Durham,England,North East,2018/19,Other regeneration grants and income from local and regional bodies,£000s,0.0
10007143,University of Durham,England,North East,2018/19,Total programmes,£000s,1781.0
10007143,University of Durham,England,North East,2018/19,Capital income (attributable to survey year),£000s,0.0
10007143,University of Durham,England,North East,2018/19,UK shared prosperity fund,£000s,0.0
10007143,University of Durham,England,North East,2019/20,Other,£000s,0.0
10007143,University of Durham,England,North East,2019/20,ERDF income,£000s,1085.0
10007143,University of Durham,England,North East,2019/20,ESF income,£000s,0.0
10007143,University of Durham,England,North East,2019/20,UK Government regeneration funds,£000s,1767.0
10007143,University of Durham,England,North East,2019/20,Other regeneration grants and income from local and regional bodies,£000s,51.0
10007143,University of Durham,England,North East,2019/20,Total programmes,£000s,2903.0
10007143,University of Durham,England,North East,2019/20,Capital income (attributable to survey year),£000s,10968.0
10007143,University of Durham,England,North East,2019/20,UK shared prosperity fund,£000s,0.0
10007143,University of Durham,England,North East,2020/21,Other,£000s,0.0
10007143,University of Durham,England,North East,2020/21,ERDF income,£000s,597.0
10007143,University of Durham,England,North East,2020/21,ESF income,£000s,0.0
10007143,University of Durham,England,North East,2020/21,UK Government regeneration funds,£000s,770.0
10007143,University of Durham,England,North East,2020/21,Other regeneration grants and income from local and regional bodies,£000s,12.0
10007143,University of Durham,England,North East,2020/21,Total programmes,£000s,1379.0
10007143,University of Durham,England,North East,2020/21,Capital income (attributable to survey year),£000s,837.0
10007143,University of Durham,England,North East,2020/21,UK shared prosperity fund,£000s,0.0
10007143,University of Durham,England,North East,2021/22,Other,£000s,0.0
10007143,University of Durham,England,North East,2021/22,ERDF income,£000s,571.0
10007143,University of Durham,England,North East,2021/22,ESF income,£000s,0.0
10007143,University of Durham,England,North East,2021/22,UK Government regeneration funds,£000s,338.0
10007143,University of Durham,England,North East,2021/22,Other regeneration grants and income from local and regional bodies,£000s,0.0
10007143,University of Durham,England,North East,2021/22,Total programmes,£000s,909.0
10007143,University of Durham,England,North East,2021/22,Capital income (attributable to survey year),£000s,198.0
10007143,University of Durham,England,North East,2021/22,UK shared prosperity fund,£000s,0.0
10007143,University of Durham,England,North East,2022/23,Other,£000s,0.0
10007143,University of Durham,England,North East,2022/23,ERDF income,£000s,440.0
10007143,University of Durham,England,North East,2022/23,ESF income,£000s,0.0
10007143,University of Durham,England,North East,2022/23,UK Government regeneration funds,£000s,517.0
10007143,University of Durham,England,North East,2022/23,Other regeneration grants and income from local and regional bodies,£000s,0.0
10007143,University of Durham,England,North East,2022/23,Total programmes,£000s,957.0
10007143,University of Durham,England,North East,2022/23,Capital income (attributable to survey year),£000s,28.0
10007143,University of Durham,England,North East,2022/23,UK shared prosperity fund,£000s,0.0
10007143,University of Durham,England,North East,2023/24,Other,£000s,0.0
10007143,University of Durham,England,North East,2023/24,ERDF income,£000s,73.0
10007143,University of Durham,England,North East,2023/24,ESF income,£000s,0.0
10007143,University of Durham,England,North East,2023/24,UK Government regeneration funds,£000s,448.0
10007143,University of Durham,England,North East,2023/24,Other regeneration grants and income from local and regional bodies,£000s,0.0
10007143,University of Durham,England,North East,2023/24,Total programmes,£000s,1640.0
10007143,University of Durham,England,North East,2023/24,Capital income (attributable to survey year),£000s,195.0
10007143,University of Durham,England,North East,2023/24,UK shared prosperity fund,£000s,1119.0
10007799,Newcastle University,England,North East,2014/15,Other,£000s,0.0
10007799,Newcastle University,England,North East,2014/15,ERDF income,£000s,275.0
10007799,Newcastle University,England,North East,2014/15,ESF income,£000s,0.0
10007799,Newcastle University,England,North East,2014/15,UK Government regeneration funds,£000s,0.0
10007799,Newcastle University,England,North East,2014/15,Other regeneration grants and income from local and regional bodies,£000s,2.0
10007799,Newcastle University,England,North East,2014/15,Total programmes,£000s,277.0
10007799,Newcastle University,England,North East,2014/15,Capital income (attributable to survey year),£000s,0.0
10007799,Newcastle University,England,North East,2014/15,UK shared prosperity fund,£000s,0.0
10007799,Newcastle University,England,North East,2015/16,Other,£000s,0.0
10007799,Newcastle University,England,North East,2015/16,ERDF income,£000s,76.0
10007799,Newcastle University,England,North East,2015/16,ESF income,£000s,0.0
10007799,Newcastle University,England,North East,2015/16,UK Government regeneration funds,£000s,0.0
10007799,Newcastle University,England,North East,2015/16,Other regeneration grants and income from local and regional bodies,£000s,0.0
10007799,Newcastle University,England,North East,2015/16,Total programmes,£000s,76.0
10007799,Newcastle University,England,North East,2015/16,Capital income (attributable to survey year),£000s,0.0
10007799,Newcastle University,England,North East,2015/16,UK shared prosperity fund,£000s,0.0
10007799,Newcastle University,England,North East,2016/17,Other,£000s,0.0
10007799,Newcastle University,England,North East,2016/17,ERDF income,£000s,67.0
10007799,Newcastle University,England,North East,2016/17,ESF income,£000s,0.0
10007799,Newcastle University,England,North East,2016/17,UK Government regeneration funds,£000s,0.0
10007799,Newcastle University,England,North East,2016/17,Other regeneration grants and income from local and regional bodies,£000s,0.0
10007799,Newcastle University,England,North East,2016/17,Total programmes,£000s,67.0
10007799,Newcastle University,England,North East,2016/17,Capital income (attributable to survey year),£000s,0.0
10007799,Newcastle University,England,North East,2016/17,UK shared prosperity fund,£000s,0.0
10007799,Newcastle University,England,North East,2017/18,Other,£000s,0.0
10007799,Newcastle University,England,North East,2017/18,ERDF income,£000s,525.0
10007799,Newcastle University,England,North East,2017/18,ESF income,£000s,0.0
10007799,Newcastle University,England,North East,2017/18,UK Government regeneration funds,£000s,0.0
10007799,Newcastle University,England,North East,2017/18,Other regeneration grants and income from local and regional bodies,£000s,0.0
10007799,Newcastle University,England,North East,2017/18,Total programmes,£000s,525.0
10007799,Newcastle University,England,North East,2017/18,Capital income (attributable to survey year),£000s,0.0
10007799,Newcastle University,England,North East,2017/18,UK shared prosperity fund,£000s,0.0
10007799,Newcastle University,England,North East,2018/19,Other,£000s,0.0
10007799,Newcastle University,England,North East,2018/19,ERDF income,£000s,286.0
10007799,Newcastle University,England,North East,2018/19,ESF income,£000s,0.0
10007799,Newcastle University,England,North East,2018/19,UK Government regeneration funds,£000s,0.0
10007799,Newcastle University,England,North East,2018/19,Other regeneration grants and income from local and regional bodies,£000s,0.0
10007799,Newcastle University,England,North East,2018/19,Total programmes,£000s,286.0
10007799,Newcastle University,England,North East,2018/19,Capital income (attributable to survey year),£000s,0.0
10007799,Newcastle University,England,North East,2018/19,UK shared prosperity fund,£000s,0.0
10007799,Newcastle University,England,North East,2019/20,Other,£000s,0.0
10007799,Newcastle University,England,North East,2019/20,ERDF income,£000s,652.0
10007799,Newcastle University,England,North East,2019/20,ESF income,£000s,0.0
10007799,Newcastle University,England,North East,2019/20,UK Government regeneration funds,£000s,0.0
10007799,Newcastle University,England,North East,2019/20,Other regeneration grants and income from local and regional bodies,£000s,0.0
10007799,Newcastle University,England,North East,2019/20,Total programmes,£000s,652.0
10007799,Newcastle University,England,North East,2019/20,Capital income (attributable to survey year),£000s,0.0
10007799,Newcastle University,England,North East,2019/20,UK shared prosperity fund,£000s,0.0
10007799,Newcastle University,England,North East,2020/21,Other,£000s,0.0
10007799,Newcastle University,England,North East,2020/21,ERDF income,£000s,467.0
10007799,Newcastle University,England,North East,2020/21,ESF income,£000s,0.0
10007799,Newcastle University,England,North East,2020/21,UK Government regeneration funds,£000s,0.0
10007799,Newcastle University,England,North East,2020/21,Other regeneration grants and income from local and regional bodies,£000s,0.0
10007799,Newcastle University,England,North East,2020/21,Total programmes,£000s,467.0
10007799,Newcastle University,England,North East,2020/21,Capital income (attributable to survey year),£000s,0.0
10007799,Newcastle University,England,North East,2020/21,UK shared prosperity fund,£000s,0.0
10007799,Newcastle University,England,North East,2021/22,Other,£000s,631.0
10007799,Newcastle University,England,North East,2021/22,ERDF income,£000s,1279.0
10007799,Newcastle University,England,North East,2021/22,ESF income,£000s,0.0
10007799,Newcastle University,England,North East,2021/22,UK Government regeneration funds,£000s,0.0
10007799,Newcastle University,England,North East,2021/22,Other regeneration grants and income from local and regional bodies,£000s,639.0
10007799,Newcastle University,England,North East,2021/22,Total programmes,£000s,2549.0
10007799,Newcastle University,England,North East,2021/22,Capital income (attributable to survey year),£000s,0.0
10007799,Newcastle University,England,North East,2021/22,UK shared prosperity fund,£000s,0.0
10007799,Newcastle University,England,North East,2022/23,Other,£000s,1520.0
10007799,Newcastle University,England,North East,2022/23,ERDF income,£000s,1192.0
10007799,Newcastle University,England,North East,2022/23,ESF income,£000s,0.0
10007799,Newcastle University,England,North East,2022/23,UK Government regeneration funds,£000s,0.0
10007799,Newcastle University,England,North East,2022/23,Other regeneration grants and income from local and regional bodies,£000s,1148.0
10007799,Newcastle University,England,North East,2022/23,Total programmes,£000s,3860.0
10007799,Newcastle University,England,North East,2022/23,Capital income (attributable to survey year),£000s,0.0
10007799,Newcastle University,England,North East,2022/23,UK shared prosperity fund,£000s,0.0
10007799,Newcastle University,England,North East,2023/24,Other,£000s,1538.0
10007799,Newcastle University,England,North East,2023/24,ERDF income,£000s,228.0
10007799,Newcastle University,England,North East,2023/24,ESF income,£000s,0.0
10007799,Newcastle University,England,North East,2023/24,UK Government regeneration funds,£000s,0.0
10007799,Newcastle University,England,North East,2023/24,Other regeneration grants and income from local and regional bodies,£000s,1445.0
10007799,Newcastle University,England,North East,2023/24,Total programmes,£000s,3211.0
10007799,Newcastle University,England,North East,2023/24,Capital income (attributable to survey year),£000s,0.0
10007799,Newcastle University,England,North East,2023/24,UK shared prosperity fund,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Other,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,ERDF income,£000s,583.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,ESF income,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,UK Government regeneration funds,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Other regeneration grants and income from local and regional bodies,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Total programmes,£000s,583.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Capital income (attributable to survey year),£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,UK shared prosperity fund,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Other,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,ERDF income,£000s,106.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,ESF income,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,UK Government regeneration funds,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Other regeneration grants and income from local and regional bodies,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Total programmes,£000s,106.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Capital income (attributable to survey year),£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,UK shared prosperity fund,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Other,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,ERDF income,£000s,242.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,ESF income,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,UK Government regeneration funds,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Other regeneration grants and income from local and regional bodies,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Total programmes,£000s,242.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Capital income (attributable to survey year),£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,UK shared prosperity fund,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Other,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,ERDF income,£000s,360.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,ESF income,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,UK Government regeneration funds,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Other regeneration grants and income from local and regional bodies,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Total programmes,£000s,360.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Capital income (attributable to survey year),£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,UK shared prosperity fund,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Other,£000s,0.0
